filename,path,num_frames,fps,width,height,duration_sec,label
20240912_101331.mp4,fall_dataset\Fall\Raw_Video\20240912_101331.mp4,57,30.0,1920,1080,1.9,1
20240912_101427.mp4,fall_dataset\Fall\Raw_Video\20240912_101427.mp4,57,30.0,1920,1080,1.9,1
20240912_101520.mp4,fall_dataset\Fall\Raw_Video\20240912_101520.mp4,57,30.0,1920,1080,1.9,1
20240912_101626.mp4,fall_dataset\Fall\Raw_Video\20240912_101626.mp4,57,30.0,1920,1080,1.9,1
20240912_101723.mp4,fall_dataset\Fall\Raw_Video\20240912_101723.mp4,57,30.0,1920,1080,1.9,1
20240912_101943.mp4,fall_dataset\Fall\Raw_Video\20240912_101943.mp4,57,30.0,1920,1080,1.9,1
20240912_102048.mp4,fall_dataset\Fall\Raw_Video\20240912_102048.mp4,57,30.0,1920,1080,1.9,1
20240912_102146.mp4,fall_dataset\Fall\Raw_Video\20240912_102146.mp4,57,30.0,1920,1080,1.9,1
20240912_102330.mp4,fall_dataset\Fall\Raw_Video\20240912_102330.mp4,57,30.0,1920,1080,1.9,1
20240912_102649.mp4,fall_dataset\Fall\Raw_Video\20240912_102649.mp4,57,30.0,1920,1080,1.9,1
20240912_102739.mp4,fall_dataset\Fall\Raw_Video\20240912_102739.mp4,57,30.0,1920,1080,1.9,1
20240912_102926.mp4,fall_dataset\Fall\Raw_Video\20240912_102926.mp4,57,30.0,1920,1080,1.9,1
20240912_103041.mp4,fall_dataset\Fall\Raw_Video\20240912_103041.mp4,57,30.0,1920,1080,1.9,1
20240912_103200.mp4,fall_dataset\Fall\Raw_Video\20240912_103200.mp4,57,30.0,1920,1080,1.9,1
20240912_103345.mp4,fall_dataset\Fall\Raw_Video\20240912_103345.mp4,57,30.0,1920,1080,1.9,1
20240912_103443.mp4,fall_dataset\Fall\Raw_Video\20240912_103443.mp4,57,30.0,1920,1080,1.9,1
20240912_103526.mp4,fall_dataset\Fall\Raw_Video\20240912_103526.mp4,57,30.0,1920,1080,1.9,1
20240912_103725.mp4,fall_dataset\Fall\Raw_Video\20240912_103725.mp4,57,30.0,1920,1080,1.9,1
20240912_104404.mp4,fall_dataset\Fall\Raw_Video\20240912_104404.mp4,57,30.0,1920,1080,1.9,1
20240912_104512.mp4,fall_dataset\Fall\Raw_Video\20240912_104512.mp4,57,30.0,1920,1080,1.9,1
20240912_104618.mp4,fall_dataset\Fall\Raw_Video\20240912_104618.mp4,57,30.0,1920,1080,1.9,1
20240912_104722.mp4,fall_dataset\Fall\Raw_Video\20240912_104722.mp4,57,30.0,1920,1080,1.9,1
20240912_104833.mp4,fall_dataset\Fall\Raw_Video\20240912_104833.mp4,57,30.0,1920,1080,1.9,1
20240912_105018.mp4,fall_dataset\Fall\Raw_Video\20240912_105018.mp4,57,30.0,1920,1080,1.9,1
20240912_105129.mp4,fall_dataset\Fall\Raw_Video\20240912_105129.mp4,57,30.0,1920,1080,1.9,1
20240912_105349.mp4,fall_dataset\Fall\Raw_Video\20240912_105349.mp4,57,30.0,1920,1080,1.9,1
20240912_105511.mp4,fall_dataset\Fall\Raw_Video\20240912_105511.mp4,57,30.0,1920,1080,1.9,1
20240912_105555.mp4,fall_dataset\Fall\Raw_Video\20240912_105555.mp4,57,30.0,1920,1080,1.9,1
20240912_105735.mp4,fall_dataset\Fall\Raw_Video\20240912_105735.mp4,57,30.0,1920,1080,1.9,1
20240912_105825.mp4,fall_dataset\Fall\Raw_Video\20240912_105825.mp4,57,30.0,1920,1080,1.9,1
20240912_105934.mp4,fall_dataset\Fall\Raw_Video\20240912_105934.mp4,57,30.0,1920,1080,1.9,1
20240912_110215.mp4,fall_dataset\Fall\Raw_Video\20240912_110215.mp4,57,30.0,1920,1080,1.9,1
20240912_110733.mp4,fall_dataset\Fall\Raw_Video\20240912_110733.mp4,57,30.0,1920,1080,1.9,1
20240912_111007.mp4,fall_dataset\Fall\Raw_Video\20240912_111007.mp4,57,30.0,1920,1080,1.9,1
20240912_111106.mp4,fall_dataset\Fall\Raw_Video\20240912_111106.mp4,57,30.0,1920,1080,1.9,1
20240912_111545.mp4,fall_dataset\Fall\Raw_Video\20240912_111545.mp4,57,30.0,1920,1080,1.9,1
20240912_111652.mp4,fall_dataset\Fall\Raw_Video\20240912_111652.mp4,57,30.0,1920,1080,1.9,1
20240912_111758.mp4,fall_dataset\Fall\Raw_Video\20240912_111758.mp4,57,30.0,1920,1080,1.9,1
20240912_111847.mp4,fall_dataset\Fall\Raw_Video\20240912_111847.mp4,57,30.0,1920,1080,1.9,1
20240912_112002.mp4,fall_dataset\Fall\Raw_Video\20240912_112002.mp4,57,30.0,1920,1080,1.9,1
20240912_112117.mp4,fall_dataset\Fall\Raw_Video\20240912_112117.mp4,57,30.0,1920,1080,1.9,1
20240912_112205.mp4,fall_dataset\Fall\Raw_Video\20240912_112205.mp4,57,30.0,1920,1080,1.9,1
20240912_112258.mp4,fall_dataset\Fall\Raw_Video\20240912_112258.mp4,57,30.0,1920,1080,1.9,1
20240912_112401.mp4,fall_dataset\Fall\Raw_Video\20240912_112401.mp4,57,30.0,1920,1080,1.9,1
20240912_112445.mp4,fall_dataset\Fall\Raw_Video\20240912_112445.mp4,57,30.0,1920,1080,1.9,1
20240912_112633.mp4,fall_dataset\Fall\Raw_Video\20240912_112633.mp4,57,30.0,1920,1080,1.9,1
20240912_112816.mp4,fall_dataset\Fall\Raw_Video\20240912_112816.mp4,57,30.0,1920,1080,1.9,1
20240912_112856.mp4,fall_dataset\Fall\Raw_Video\20240912_112856.mp4,57,30.0,1920,1080,1.9,1
20240912_113014.mp4,fall_dataset\Fall\Raw_Video\20240912_113014.mp4,57,30.0,1920,1080,1.9,1
20240912_113131.mp4,fall_dataset\Fall\Raw_Video\20240912_113131.mp4,57,30.0,1920,1080,1.9,1
20240912_113222.mp4,fall_dataset\Fall\Raw_Video\20240912_113222.mp4,57,30.0,1920,1080,1.9,1
20240912_113259.mp4,fall_dataset\Fall\Raw_Video\20240912_113259.mp4,57,30.0,1920,1080,1.9,1
20240912_113430.mp4,fall_dataset\Fall\Raw_Video\20240912_113430.mp4,57,30.0,1920,1080,1.9,1
20240912_113558.mp4,fall_dataset\Fall\Raw_Video\20240912_113558.mp4,57,30.0,1920,1080,1.9,1
20240912_113718.mp4,fall_dataset\Fall\Raw_Video\20240912_113718.mp4,57,30.0,1920,1080,1.9,1
20240912_113814.mp4,fall_dataset\Fall\Raw_Video\20240912_113814.mp4,57,30.0,1920,1080,1.9,1
20240912_113909.mp4,fall_dataset\Fall\Raw_Video\20240912_113909.mp4,57,30.0,1920,1080,1.9,1
